"_id","price_start","price_end","house_area","flats_property_i","city_i","area_i","place_i","shi","ting","wei","floor_i","floor_zhu_i","lng","lat","deposit_ya","deposit_pay","s_jsf","s_gycs","s_znms","s_atm","s_dskd","s_zskf","s_fjqj","s_24hba","s_bjwx","s_sqhd","c_chuang","c_yigui","c_shuzhuo","c_kongtiao","c_canzhuo","c_nuanqi","c_tv","c_ranqi","c_wbl","c_dcl","c_rsq","c_xyj","c_bx","c_wifi","c_sf","c_cg","c_yyj","update_time_i"
4316,1000,1000,20,2,4,11,74,4,1,2,15,12,116.4666500000,40.1183200000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496678400
4318,1580,1580,23,2,4,16,93,3,1,1,32,15,116.2916000000,39.7239300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1494950400
4319,1480,1480,20,2,4,16,93,3,1,1,17,16,116.2916000000,39.7239300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1494086400
4320,1280,1280,18,2,4,16,93,3,1,1,18,17,116.2916000000,39.7239300000,1,3,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1496160000
4321,2200,2200,45,2,4,19,115,1,1,1,3,2,116.5109100000,40.0954300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495209600
4322,7600,7600,85,2,4,12,130,2,1,1,28,20,116.4995600000,39.9469800000,1,3,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496160000
4323,1990,1990,18,1,4,15,81,3,1,1,11,6,116.2308400000,40.0811000000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1494604800
4324,1380,1380,20,1,4,16,93,3,1,1,32,15,116.2916000000,39.7239300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495641600
4325,1580,1580,19,1,4,16,93,3,1,1,19,10,116.2916000000,39.7239300000,1,3,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1496332800
4326,3100,3100,30,1,4,12,96,3,1,1,15,2,116.4177400000,40.0327600000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495382400
4327,1900,1900,16,1,4,11,85,3,1,1,11,3,116.3051600000,40.0980400000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1494432000
4328,1230,1230,12,1,4,16,93,4,1,1,18,17,116.2916000000,39.7239300000,1,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495555200
4329,2280,2280,16,1,4,15,98,3,1,1,29,16,116.3167000000,40.0614900000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496678400
4330,2500,2500,19,1,4,15,98,3,1,1,11,7,116.3091500000,40.0549100000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496246400
4331,1490,1490,14,1,4,14,155,3,1,1,17,11,116.6464600000,39.8901900000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496592000
4332,1850,1850,18,1,4,14,80,5,1,1,24,19,116.6388710000,39.8883220000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495209600
4334,1890,1890,22,1,4,15,81,3,1,1,11,6,116.2564400000,40.0555200000,1,3,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1492963200
4335,2650,2650,24,2,4,12,77,1,1,1,4,2,116.3371800000,40.0543600000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1496764800
4336,1850,1850,30,2,4,14,160,1,1,1,8,6,116.3381100000,40.0541300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1496851200
4338,2900,2900,30,1,4,15,98,4,1,2,9,3,116.3081100000,40.0557800000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1493049600
4340,2600,2600,25,1,4,11,79,3,2,2,20,9,116.3271600000,40.0683000000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496419200
4341,1990,1990,25,1,4,15,127,3,1,1,9,5,116.1772600000,40.0510700000,1,3,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1494345600
4342,1890,1890,20,1,4,15,81,3,1,1,11,5,116.2564400000,40.0555200000,1,3,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1495555200
4343,6500,6500,70,2,4,12,88,1,1,1,25,12,116.5050100000,39.8970000000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495641600
4344,1500,1500,20,1,4,15,81,3,1,1,13,8,116.2564400000,40.0555200000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496073600
4345,1800,1800,20,2,4,12,109,3,1,1,29,10,116.5356100000,39.9606200000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496332800
4346,1760,1760,20,2,4,11,125,3,1,1,6,3,116.3783500000,40.0792500000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496332800
4347,1980,1980,18,2,4,11,79,3,1,1,31,13,116.3115100000,40.0654800000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1493568000
4348,1790,1790,18,2,4,15,81,3,1,1,11,8,116.2308400000,40.0811000000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1494518400
4349,4000,4000,55,2,4,15,81,1,1,1,9,4,116.2633800000,40.0486200000,1,3,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1495641600
4350,3900,3900,90,2,4,12,109,2,1,1,22,16,116.5344000000,39.9643300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496246400
4352,3200,3200,55,2,4,15,81,1,1,1,15,1,116.2564400000,40.0555200000,1,3,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495036800
4353,4800,4800,90,2,4,15,81,2,1,1,16,8,116.2173000000,40.0396200000,1,3,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1494604800
4354,20000,20000,168,2,4,12,165,3,2,2,15,7,116.4728700000,39.8849700000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1493049600
4355,3290,3290,43,2,4,16,178,1,1,1,11,7,116.3637400000,39.7748080000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1496764800
4356,3000,3000,90,2,4,11,123,3,2,1,28,1,116.4745700000,40.1762800000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496851200
4357,2500,2500,25,2,4,12,94,3,1,1,24,8,116.4174800000,40.0206700000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496592000
4358,5180,5180,108,2,4,16,93,4,1,1,18,8,116.2916000000,39.7239300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495296000
4359,1599,1599,18,2,4,11,85,3,2,2,18,12,116.3783500000,40.0792500000,1,3,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1496592000
4360,3999,3999,50,2,4,12,152,1,1,1,4,3,116.4602500000,39.8608000000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1496851200
4361,4860,4860,80,2,4,15,98,2,1,1,25,12,116.3097600000,40.0670400000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1494086400
4362,1790,1790,18,1,4,11,85,4,2,2,6,5,116.3336100000,40.0668500000,1,3,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1496592000
4363,1550,1550,20,1,4,14,80,4,1,2,27,5,116.6388710000,39.8883220000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496419200
